a;ein
main;Main
winter;Winter
wide;breit
written;geschrieben
length;Länge
reason;Grund
kept;gehalten
interest;Interesse
arms;Waffen
brother;Bruder
race;Rennen
present;Geschenk
beautiful;schön
store;Geschäft
job;Job
edge;Kante
past;Vergangenheit
sign;Schild
record;Aufzeichnung
finished;fertig
discovered;entdeckt
wild;wild
happy;glücklich
beside;neben
gone;Weg
sky;Himmel
glass;Glas
million;Million
west;West-
lay;legen
weather;Wetter
root;Wurzel
instruments;Instrumente
meet;Treffen
third;dritte
months;Monate
paragraph;Absatz
raised;angehoben
represent;vertreten
soft;weich
whether;ob
clothes;Kleider
flowers;Blumen
shall;soll
teacher;Lehrer
held;gehaltenen
describe;beschreiben
drive;Fahrt
cross;Kreuz
speak;sprechen
solve;lösen
appear;erscheinen
metal;Metall
son;Sohn
either;entweder
ice;Eis
sleep;Schlaf
village;Dorf
factors;Faktoren
result;Ergebnis
jumped;sprang
snow;Schnee
ride;Reiten
care;Pflege
floor;Fußboden
hill;Hügel
pushed;gedrängt
baby;Baby
buy;Kaufen
century;Jahrhundert
outside;draußen
everything;alles
tall;hoch
already;bereits
instead;stattdessen
phrase;Phrase
soil;Boden
bed;Bett
copy;Kopieren
free;frei
hope;Hoffnung
spring;Frühling
case;Fall
laughed;lachte
nation;Nation
quite;ganz
type;Art
themselves;sich
temperature;Temperatur
bright;hell
lead;führen
everyone;jeder
method;Methode
section;Sektion
lake;See
consonant;Konsonant
within;innerhalb
dictionary;Wörterbuch
hair;Haar
age;Alter
amount;Menge
scale;Rahmen
pounds;Pfund
although;obwohl
per;pro
broken;gebrochen
moment;Moment
tiny;sehr klein
possible;möglich
gold;Gold
milk;Milch
quiet;ruhig
natural;natürlich
lot;Menge
stone;Stein
act;Handlung
build;bauen
middle;Mitte
speed;Geschwindigkeit
count;Anzahl
cat;Katze
someone;jemand
sail;Segel
rolled;gerollt
bear;Bär
wonder;Wunder
smiled;lächelte
angle;Winkel
fraction;Fraktion
Africa;Afrika
killed;getötet
melody;Melodie
bottom;Unterseite
trip;Ausflug
hole;Loch
poor;Arm
let’s;Lasst uns
fight;Kampf
surprise;Überraschung
French;Französisch
died;ist gestorben
beat;schlagen
exactly;genau
remain;bleiben übrig
dress;Kleid
iron;Eisen
couldn’t;konnte nicht
fingers;Finger
row;Reihe
least;am wenigsten
catch;Fang
climbed;geklettert
wrote;schrieb
shouted;schrie
continued;fortgesetzt
itself;selbst
else;sonst
plains;Ebenen
gas;Gas
England;England
burning;Verbrennung
design;Design
joined;beigetreten
foot;Fuß
law;Recht
ears;Ohren
grass;Gras
you’re;du bist
grew;wuchs
skin;Haut
valley;Tal
cents;Cent
key;Schlüssel
president;Präsident
brown;braun
trouble;Ärger
cool;cool
cloud;Wolke
lost;hat verloren
sent;geschickt
symbols;Symbole
wear;tragen
bad;Schlecht
save;sparen
experiment;Experiment
engine;Motor
alone;allein
drawing;Zeichnung
east;Osten
pay;Zahlen
single;Single
touch;berühren
information;Information
express;ausdrücken
mouth;Mund
yard;Garten
equal;gleich
decimal;Dezimal
yourself;dich selber
control;Steuerung
practice;trainieren
report;Bericht
straight;Gerade
rise;erhebt euch
statement;Erklärung
stick;Stock
party;Party
seeds;Saat
suppose;annehmen
woman;Frau
coast;Küste
bank;Bank
period;Zeitraum
wire;Draht
choose;wählen
clean;reinigen
visit;Besuch
bit;Bit
whose;deren
received;empfangen
garden;Garten
please;Bitte
strange;seltsam
caught;gefangen
fell;fiel
team;Mannschaft
God;Gott
captain;Kapitän
direct;Direkte
ring;Ring
serve;Dienen
child;Kind
desert;Wüste
increase;erhöhen, ansteigen
history;Geschichte
cost;Kosten
maybe;könnte sein
business;Geschäft
separate;trennen
break;Unterbrechung
uncle;Onkel
hunting;Jagd
flow;fließen
lady;Dame
students;Studenten
human;Mensch
art;Kunst
feeling;Gefühl
supply;liefern
corner;Ecke
electric;elektrisch
insects;Insekten
crops;Pflanzen
tone;Ton
hit;schlagen
sand;Sand
doctor;Arzt
provide;zu Verfügung stellen
thus;so
won’t;Gewohnheit
cook;Koch
bones;Knochen
tail;Schwanz
board;Tafel
modern;modern
compound;Verbindung
mine;Bergwerk
wasn’t;war nicht
fit;passen
addition;Zusatz
belong;gehören
safe;sicher
soldiers;Soldaten
guess;vermuten
silent;Leise
trade;Handel
rather;lieber
compare;vergleichen
crowd;Menge
poem;Gedicht
enjoy;genießen
elements;Elemente
indicate;zeigen
except;außer
expect;erwarten von
flat;eben
seven;Sieben
interesting;interessant
sense;Sinn
string;Zeichenfolge
blow;Schlag
famous;berühmt
value;Wert
wings;Flügel
movement;Bewegung
pole;Pole
exciting;aufregend
branches;Geäst
thick;dick
blood;Blut
lie;Lüge
spot;Stelle
bell;Glocke
fun;Spaß
loud;laut
consider;Erwägen
suggested;empfohlen
thin;dünn
position;Position
entered;trat ein
fruit;Obst
tied;gebunden
rich;Reich
dollars;Dollar
send;senden
sight;Sicht
chief;Chef
Japanese;japanisch
stream;Strom
planets;Planeten
rhythm;Rhythmus
eight;acht
science;Wissenschaft
major;Haupt
observe;beobachten
tube;Tube
necessary;notwendig
weight;Gewicht
meat;Fleisch
lifted;aufgehoben
process;verarbeiten
army;Armee
hat;Hut
property;Eigentum
particular;besonders
swim;schwimmen
terms;Begriffe
current;Strom
park;Park
sell;verkaufen
shoulder;Schulter
industry;Industrie
wash;waschen
block;Block
spread;Verbreitung
cattle;das Vieh
wife;Ehefrau
sharp;Scharf
company;Unternehmen
radio;Radio
we’ll;Gut
action;Aktion
capital;Hauptstadt
factories;Fabriken
settled;erledigt
yellow;Gelb
isn’t;ist nicht
southern;Süd-
truck;LKW
fair;Messe
printed;gedruckt
wouldn’t;würde nicht
ahead;voraus
chance;Chance
born;geboren
level;Niveau
triangle;Dreieck
molecules;Moleküle
France;Frankreich
repeated;wiederholt
column;Säule
western;Western
church;Kirche
sister;Schwester
oxygen;Sauerstoff
plural;Plural-
various;verschiedene
agreed;einverstanden
opposite;Gegenteil
wrong;falsch
chart;Diagramm
prepared;bereit
pretty;ziemlich
solution;Lösung
fresh;frisch
shop;Geschäft
suffix;Suffix
especially;insbesondere
shoes;Schuhe
actually;tatsächlich
nose;Nase
afraid;Angst
dead;tot
sugar;Zucker
adjective;Adjektiv
fig;Feige
office;Büro
huge;enorm
gun;Gewehr
similar;ähnlich
death;Tod
score;Ergebnis
forward;nach vorne
stretched;gestreckt
experience;Erfahrung
rose;Rose
allow;ermöglichen
fear;Angst
workers;Arbeitskräfte
Washington;Washington
Greek;griechisch
women;Frau
bought;gekauft
led;LED
march;März
northern;Nord
create;erstellen
British;britisch
difficult;schwer
match;Spiel
win;Sieg
doesn’t;nicht
steel;stehlen
total;gesamt
deal;Deal
determine;bestimmen
evening;Abend
nor;Noch
rope;Seil
cotton;Baumwolle
apple;Apfel
details;Einzelheiten
entire;ganz
corn;Mais
substances;Substanzen
smell;Geruch
tools;Werkzeuge
conditions;Bedingungen
cows;Kühe
track;Spur
arrived;ist eingetroffen
located;gelegen
sir;Herr
seat;Sitz
division;Aufteilung
effect;bewirken
underline;unterstreichen
view;Aussicht
